,province,time,temperature,humidity
0,จ. สตูล,2021-03-22T16:00:00+07:00,29.62,75.36
1,จ. ระยอง,2021-03-22T16:00:00+07:00,28.91,77.89
2,จ. ชุมพร,2021-03-22T16:00:00+07:00,27.16,90.84
3,จ. มหาสารคาม,2021-03-22T16:00:00+07:00,30.43,36.19
4,จ. สุราษฎร์ธานี,2021-03-22T16:00:00+07:00,28.24,83.74
5,จ. ชลบุรี,2021-03-22T16:00:00+07:00,28.69,79.84
6,จ. ตรัง,2021-03-22T16:00:00+07:00,30.01,72.94
7,จ. จันทบุรี,2021-03-22T16:00:00+07:00,28.83,84.25
8,จ. พังงา,2021-03-22T16:00:00+07:00,30.44,67.75
9,จ. ตราด,2021-03-22T16:00:00+07:00,28.53,84.49
10,จ. ระนอง,2021-03-22T16:00:00+07:00,29.28,71.8
11,จ. ภูเก็ต,2021-03-22T16:00:00+07:00,29.01,74.55
12,จ. กระบี่,2021-03-22T16:00:00+07:00,28.78,79.0
13,กรุงเทพมหานคร,2021-03-22T16:00:00+07:00,34.32,42.11
14,จ. นครศรีธรรมราช,2021-03-22T16:00:00+07:00,28.18,82.62
15,จ. สมุทรสาคร,2021-03-22T16:00:00+07:00,32.67,49.97
16,จ. พระนครศรีอยุธยา,2021-03-22T16:00:00+07:00,34.52,38.58
17,จ. ลพบุรี,2021-03-22T16:00:00+07:00,32.84,40.52
18,จ. สมุทรปราการ,2021-03-22T16:00:00+07:00,34.72,41.18
19,จ. อ่างทอง,2021-03-22T16:00:00+07:00,33.92,38.93
20,จ. ปัตตานี,2021-03-22T16:00:00+07:00,30.17,62.37
21,จ. เชียงใหม่,2021-03-22T16:00:00+07:00,27.23,75.02
22,จ. ชัยนาท,2021-03-22T16:00:00+07:00,33.75,40.13
23,จ. นนทบุรี,2021-03-22T16:00:00+07:00,33.64,44.56
24,จ. อุตรดิตถ์,2021-03-22T16:00:00+07:00,31.5,47.21
25,จ. ขอนแก่น,2021-03-22T16:00:00+07:00,31.57,34.48
26,จ. นครสวรรค์,2021-03-22T16:00:00+07:00,34.92,32.78
27,จ. เพชรบุรี,2021-03-22T16:00:00+07:00,32.66,48.83
